Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3319 Old Milton Pkwy, Alpharetta, GA 30005, USA",Fulton County,Alpharetta,GA,30005,34.0684062,-84.26808799999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2850 Holcomb Bridge Rd, Alpharetta, GA 30022, USA",Fulton County,Alpharetta,GA,30022,33.991171,-84.278446
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","5365 Peachtree Industrial Blvd, Norcross, GA 30092, USA",Gwinnett County,Norcross,GA,30092,33.96141790000001,-84.2093437
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","12370 A, Arnold Mill Rd, Alpharetta, GA 30004, USA",Fulton County,Alpharetta,GA,30004,34.0829408,-84.3583579
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2940 Mansell Rd, Alpharetta, GA 30022, USA",Fulton County,Alpharetta,GA,30022,34.0379115,-84.2978811
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","10792 Jones Bridge Rd, Johns Creek, GA 30022, USA",Fulton County,Johns Creek,GA,30022,34.045555,-84.22460679999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","250 Northridge Rd, Sandy Springs, GA 30350, USA",Fulton County,Sandy Springs,GA,30350,33.9820487,-84.3491727
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","571 S Main St, Alpharetta, GA 30009, USA",Fulton County,Alpharetta,GA,30009,34.0665605,-84.3098984
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","9650 Medlock Bridge Rd, Johns Creek, GA 30097, USA",Fulton County,Johns Creek,GA,30097,34.0165331,-84.19113329999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1586 Indian Trail Lilburn Rd NW, Norcross, GA 30093, USA",Gwinnett County,Norcross,GA,30093,33.9219957,-84.1706245
