Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude,NumPanels,YearlyEnergy (kWh),SolarArea (m²)
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1096 Claussen Rd, Augusta, GA 30907, USA",Richmond County,Augusta,GA,30907,33.5219436,-82.0333643,25,15277.276,49.08887
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","246 Davis Rd, Augusta, GA 30907, USA",Richmond County,Augusta,GA,30907,33.5006875,-82.0819576,33,19854.43,64.79731
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1202 George C Wilson Dr, Augusta, GA 30909, USA",Richmond County,Augusta,GA,30909,33.4826316,-82.0876295,22,12690.245,43.198208
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1171 W Martintown Rd, North Augusta, SC 29841, USA",Aiken County,North Augusta,SC,29841,33.5364644,-81.98810019999999,31,16455.74,60.8702
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3134 Peach Orchard Rd, Augusta, GA 30906, USA",Richmond County,Augusta,GA,30906,33.4095636,-82.0266157,,,
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","321 Georgia Ave, North Augusta, SC 29841, USA",Aiken County,North Augusta,SC,29841,33.4918163,-81.9714944,29,16530.295,56.943092
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2057 Gordon Hwy, Augusta, GA 30909, USA",Richmond County,Augusta,GA,30909,33.4520018,-82.06314610000001,25,15505.55,49.08887
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1629 Gordon Hwy, Augusta, GA 30906, USA",Richmond County,Augusta,GA,30906,33.4395324,-82.0159323,30,18303.004,58.906647
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1627 Walton Way, Augusta, GA 30904, USA",Richmond County,Augusta,GA,30904,33.4758488,-81.99374010000001,38,22014.82,74.61508
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","6751 Veterans Pkwy, Columbus, GA 31909, USA",Muscogee County,Columbus,GA,31909,32.5424025,-84.9546776,42,25700.484,82.46931
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1326 Veterans Pkwy, Columbus, GA 31901, USA",Muscogee County,Columbus,GA,31901,32.4716527,-84.98709690000001,41,23594.412,80.50575
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","7380 Blackmon Rd, Columbus, GA 31909, USA",Muscogee County,Columbus,GA,31909,32.551169,-84.89577949999999,17,10676.805,33.380432
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5701 Milgen Rd, Columbus, GA 31907, USA",Muscogee County,Columbus,GA,31907,32.5226378,-84.88874059999999,23,13583.576,45.161762
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3898 US-80, Phenix City, AL 36867, USA",Russell County,Phenix City,AL,36867,32.4704445,-85.08987069999999,36,20650.95,70.68797
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3455 Macon Rd, Columbus, GA 31907, USA",Muscogee County,Columbus,GA,31907,32.4842642,-84.9384288,1421,876120.06,2790.2114
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1141 US-280, Phenix City, AL 36867, USA",Russell County,Phenix City,AL,36867,32.4697399,-85.0297975,33,19889.951,64.79731
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4301 Victory Dr, Columbus, GA 31903, USA",Muscogee County,Columbus,GA,31903,32.4064101,-84.93657309999999,28,16271.462,54.979538
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3603 HIGHWAY 280/431 NORTH, Phenix City, AL 36867, USA",Russell County,Phenix City,AL,36867,32.4951741,-85.04212129999999,114,69094.19,223.84526
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1646 A Bradley Park Dr, Columbus, GA 31904, USA",Muscogee County,Columbus,GA,31904,32.5321356,-84.96597229999999,36,22025.67,70.68797
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2727 Manchester Expy, Columbus, GA 31904, USA",Muscogee County,Columbus,GA,31904,32.5071472,-84.9525014,31,19350.8,60.8702
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4005 Buena Vista Rd, Columbus, GA 31907, USA",Muscogee County,Columbus,GA,31907,32.463491,-84.9263653,4,2377.1538,7.8542194
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3509 Retail Dr, Phenix City, AL 36869, USA",Russell County,Phenix City,AL,36869,32.4246294,-85.03643869999999,32,19318.922,62.833755
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3707 Summerville Rd, Phenix City, AL 36867, USA",Russell County,Phenix City,AL,36867,32.4970928,-85.0161139,24,14705.949,47.125317
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","7301 Abercorn St, Savannah, GA 31406, USA",Chatham County,Savannah,GA,31406,32.0098687,-81.1151086,29,18427.844,56.943092
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","10002 Abercorn St, Savannah, GA 31406, USA",Chatham County,Savannah,GA,31406,31.9922685,-81.1291141,37,23328.246,72.65153
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3711 Ogeechee Rd, Savannah, GA 31405, USA",Chatham County,Savannah,GA,31405,32.0523835,-81.1464326,36,20084.242,70.68797
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1930 E President St, Savannah, GA 31404, USA",Chatham County,Savannah,GA,31404,32.0701919,-81.05646290000001,20,11882.016,39.271095
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4310 Augusta Rd, Garden City, GA 31408, USA",Chatham County,Garden City,GA,31408,32.1046912,-81.1504561,113,70556.96,221.8817
